GEO,COICOP,TIME,VALUE
EE,CP00,2016-04-01,0.0
EE,CP00,2016-05-01,0.0
EE,CP00,2016-06-01,0.4
EE,CP00,2016-07-01,0.8
EE,CP00,2016-08-01,1.1
EE,CP00,2016-09-01,1.7
EE,CP00,2016-10-01,1.0
EE,CP00,2016-11-01,1.4
EE,CP00,2016-12-01,2.3
EE,CP00,2017-01-01,2.8
EE,CP00,2017-02-01,3.4
EE,CP00,2017-03-01,3.0
EE,CP00,2017-04-01,3.5
EE,CP00,2017-05-01,3.5
EE,CP00,2017-06-01,3.1
EE,CP00,2017-07-01,3.9
EE,CP00,2017-08-01,4.2
EE,CP00,2017-09-01,3.9
EE,CP00,2017-10-01,4.0
EE,CP00,2017-11-01,4.5
EE,CP00,2017-12-01,3.8
EE,CP00,2018-01-01,3.6
EE,CP00,2018-02-01,3.2
EE,CP00,2018-03-01,2.9
EE,CP00,2018-04-01,2.9
EE,CP00,2018-05-01,3.1
EE,CP00,2018-06-01,3.9
EE,CP00,2018-07-01,3.3
EE,CP00,2018-08-01,3.5
EE,CP00,2018-09-01,3.5
EE,CP00,2018-10-01,4.5
EE,CP00,2018-11-01,3.2
EE,CP00,2018-12-01,3.3
EE,CP00,2019-01-01,2.7
EE,CP00,2019-02-01,1.9
EE,CP00,2019-03-01,2.2
EE,CP00,2019-04-01,3.2
EE,CP00,2019-05-01,3.1
EE,CP00,2019-06-01,2.6
EE,CP00,2019-07-01,2.0
EE,CP00,2019-08-01,2.1
EE,CP00,2019-09-01,2.2
EE,CP00,2019-10-01,1.4
EE,CP00,2019-11-01,1.8
EE,CP00,2019-12-01,1.8
EE,CP00,2020-01-01,1.6
EE,CP00,2020-02-01,2.0
EE,CP00,2020-03-01,1.0
EE,CP00,2020-04-01,-0.9
EE,CP00,2020-05-01,-1.8
EE,CP00,2020-06-01,-1.6
EE,CP00,2020-07-01,-1.3
EE,CP00,2020-08-01,-1.3
EE,CP00,2020-09-01,-1.3
EE,CP00,2020-10-01,-1.7
EE,CP00,2020-11-01,-1.2
EE,CP00,2020-12-01,-0.9
EE,CP00,2021-01-01,0.3
EE,CP00,2021-02-01,0.5
EE,CP00,2021-03-01,0.9
EE,CP00,2021-04-01,1.6
EE,CP00,2021-05-01,3.2
EE,CP00,2021-06-01,3.7
EE,CP00,2021-07-01,4.9
EE,CP00,2021-08-01,5.0
EE,CP00,2021-09-01,6.4
EE,CP00,2021-10-01,6.8
EE,CP00,2021-11-01,8.6
EE,CP00,2021-12-01,12.0
EE,CP00,2022-01-01,11.0
EE,CP00,2022-02-01,11.6
EE,CP00,2022-03-01,14.8
EE,CP00,2022-04-01,19.1
EE,CP00,2022-05-01,20.1
EE,CP00,2022-06-01,22.0
EE,CP00,2022-07-01,23.2
EE,CP00,2022-08-01,25.2
EE,CP00,2022-09-01,24.1
EE,CP00,2022-10-01,22.5
EE,CP00,2022-11-01,21.4
EE,CP00,2022-12-01,17.5
EE,CP00,2023-01-01,18.6
EE,CP00,2023-02-01,17.8
EE,CP00,2023-03-01,15.6
EE,CP00,2023-04-01,13.2
EE,CP00,2023-05-01,11.2
EE,CP00,2023-06-01,9.0
EE,CP00,2023-07-01,6.2
EE,CP00,2023-08-01,4.3
EE,CP00,2023-09-01,3.9
EE,CP00,2023-10-01,5.0
EE,CP00,2023-11-01,4.1
EE,CP00,2023-12-01,4.3
EE,CP00,2024-01-01,5.0
EE,CP00,2024-02-01,4.4
EE,CP00,2024-03-01,4.1
EE,CP00,2024-04-01,3.2
EE,CP00,2024-05-01,3.1
EE,CP00,2024-06-01,2.8
EE,CP00,2024-07-01,3.5
EE,CP00,2024-08-01,3.4
EE,CP00,2024-09-01,3.2
EE,CP00,2024-10-01,4.5
EE,CP00,2024-11-01,3.8
EE,CP00,2024-12-01,4.1
EE,CP00,2025-01-01,3.8
EE,CP00,2025-02-01,5.1
EE,CP00,2025-03-01,4.3
EE,CP00,2025-04-01,4.4
EE,CP00,2025-05-01,4.6
EE,CP00,2025-06-01,5.2
EE,CP00,2025-07-01,5.6
EE,CP00,2025-08-01,6.2
EE,CP00,2025-09-01,5.3
EE,CP00,2025-10-01,4.5
EE,CP00,2025-11-01,4.7
EE,CP00,2025-12-01,4.0
EE,CP00,2026-01-01,3.8
EE,CP00,2026-02-01,3.2
FI,CP00,1996-02-01,
FI,CP00,1996-03-01,
FI,CP00,1996-04-01,
FI,CP00,1996-05-01,
FI,CP00,1996-06-01,
FI,CP00,1996-07-01,
FI,CP00,1996-08-01,
FI,CP00,1996-09-01,
FI,CP00,1996-10-01,
FI,CP00,1996-11-01,
FI,CP00,1996-12-01,
FI,CP00,1997-01-01,0.9
FI,CP00,1997-02-01,0.6
FI,CP00,1997-03-01,0.7
FI,CP00,1997-04-01,0.9
FI,CP00,1997-05-01,0.9
FI,CP00,1997-06-01,1.1
FI,CP00,1997-07-01,1.1
FI,CP00,1997-08-01,1.7
FI,CP00,1997-09-01,1.6
FI,CP00,1997-10-01,1.7
FI,CP00,1997-11-01,1.8
FI,CP00,1997-12-01,1.6
FI,CP00,1998-01-01,1.8
FI,CP00,1998-02-01,1.7
FI,CP00,1998-03-01,1.6
FI,CP00,1998-04-01,1.7
FI,CP00,1998-05-01,1.6
FI,CP00,1998-06-01,1.6
FI,CP00,1998-07-01,1.1
FI,CP00,1998-08-01,1.1
FI,CP00,1998-09-01,1.4
FI,CP00,1998-10-01,1.1
FI,CP00,1998-11-01,0.9
FI,CP00,1998-12-01,0.8
FI,CP00,1999-01-01,0.5
FI,CP00,1999-02-01,0.9
FI,CP00,1999-03-01,0.9
FI,CP00,1999-04-01,1.3
FI,CP00,1999-05-01,1.4
FI,CP00,1999-06-01,1.2
FI,CP00,1999-07-01,1.4
FI,CP00,1999-08-01,1.3
FI,CP00,1999-09-01,1.4
FI,CP00,1999-10-01,1.6
FI,CP00,1999-11-01,1.8
FI,CP00,1999-12-01,2.2
FI,CP00,2000-01-01,2.3
FI,CP00,2000-02-01,2.7
FI,CP00,2000-03-01,3.2
FI,CP00,2000-04-01,2.5
FI,CP00,2000-05-01,2.7
FI,CP00,2000-06-01,3.1
FI,CP00,2000-07-01,2.9
FI,CP00,2000-08-01,2.9
FI,CP00,2000-09-01,3.4
FI,CP00,2000-10-01,3.4
FI,CP00,2000-11-01,3.3
FI,CP00,2000-12-01,2.9
FI,CP00,2001-01-01,2.9
FI,CP00,2001-02-01,2.7
FI,CP00,2001-03-01,2.5
FI,CP00,2001-04-01,2.9
FI,CP00,2001-05-01,3.3
FI,CP00,2001-06-01,3.0
FI,CP00,2001-07-01,2.6
FI,CP00,2001-08-01,2.7
FI,CP00,2001-09-01,2.6
FI,CP00,2001-10-01,2.4
FI,CP00,2001-11-01,2.2
FI,CP00,2001-12-01,2.4
FI,CP00,2002-01-01,2.9
FI,CP00,2002-02-01,2.5
FI,CP00,2002-03-01,2.6
FI,CP00,2002-04-01,2.5
FI,CP00,2002-05-01,1.8
FI,CP00,2002-06-01,1.5
FI,CP00,2002-07-01,2.0
FI,CP00,2002-08-01,1.8
FI,CP00,2002-09-01,1.3
FI,CP00,2002-10-01,1.7
FI,CP00,2002-11-01,1.7
FI,CP00,2002-12-01,1.7
FI,CP00,2003-01-01,1.4
FI,CP00,2003-02-01,2.1
FI,CP00,2003-03-01,1.8
FI,CP00,2003-04-01,1.4
FI,CP00,2003-05-01,1.1
FI,CP00,2003-06-01,1.1
FI,CP00,2003-07-01,1.0
FI,CP00,2003-08-01,1.2
FI,CP00,2003-09-01,1.3
FI,CP00,2003-10-01,0.9
FI,CP00,2003-11-01,1.1
FI,CP00,2003-12-01,1.2
FI,CP00,2004-01-01,0.7
FI,CP00,2004-02-01,0.4
FI,CP00,2004-03-01,-0.4
FI,CP00,2004-04-01,-0.4
FI,CP00,2004-05-01,-0.1
FI,CP00,2004-06-01,-0.1
FI,CP00,2004-07-01,0.2
FI,CP00,2004-08-01,0.2
FI,CP00,2004-09-01,0.2
FI,CP00,2004-10-01,0.6
FI,CP00,2004-11-01,0.2
FI,CP00,2004-12-01,0.1
FI,CP00,2005-01-01,-0.1
FI,CP00,2005-02-01,0.0
FI,CP00,2005-03-01,0.9
FI,CP00,2005-04-01,1.1
FI,CP00,2005-05-01,0.6
FI,CP00,2005-06-01,1.0
FI,CP00,2005-07-01,0.9
FI,CP00,2005-08-01,1.0
FI,CP00,2005-09-01,1.2
FI,CP00,2005-10-01,0.8
FI,CP00,2005-11-01,0.9
FI,CP00,2005-12-01,1.0
FI,CP00,2006-01-01,1.2
FI,CP00,2006-02-01,1.3
FI,CP00,2006-03-01,1.2
FI,CP00,2006-04-01,1.5
FI,CP00,2006-05-01,1.7
FI,CP00,2006-06-01,1.5
FI,CP00,2006-07-01,1.3
FI,CP00,2006-08-01,1.3
FI,CP00,2006-09-01,0.8
FI,CP00,2006-10-01,1.0
FI,CP00,2006-11-01,1.3
FI,CP00,2006-12-01,1.2
FI,CP00,2007-01-01,1.3
FI,CP00,2007-02-01,1.2
FI,CP00,2007-03-01,1.6
FI,CP00,2007-04-01,1.5
FI,CP00,2007-05-01,1.3
FI,CP00,2007-06-01,1.4
FI,CP00,2007-07-01,1.6
FI,CP00,2007-08-01,1.3
FI,CP00,2007-09-01,1.7
FI,CP00,2007-10-01,1.8
FI,CP00,2007-11-01,2.2
FI,CP00,2007-12-01,1.9
FI,CP00,2008-01-01,3.5
FI,CP00,2008-02-01,3.3
FI,CP00,2008-03-01,3.6
FI,CP00,2008-04-01,3.3
FI,CP00,2008-05-01,4.1
FI,CP00,2008-06-01,4.3
FI,CP00,2008-07-01,4.3
FI,CP00,2008-08-01,4.6
FI,CP00,2008-09-01,4.7
FI,CP00,2008-10-01,4.4
FI,CP00,2008-11-01,3.5
FI,CP00,2008-12-01,3.4
FI,CP00,2009-01-01,2.5
FI,CP00,2009-02-01,2.7
FI,CP00,2009-03-01,2.0
FI,CP00,2009-04-01,2.1
FI,CP00,2009-05-01,1.5
FI,CP00,2009-06-01,1.6
FI,CP00,2009-07-01,1.2
FI,CP00,2009-08-01,1.3
