GEO,LANGUAGE,QOUTE,TIME,VALUE
BG,bg,инфлация,2020-07-01,11
BG,bg,инфлация,2020-08-01,15
BG,bg,инфлация,2020-09-01,14
BG,bg,инфлация,2020-10-01,16
BG,bg,инфлация,2020-11-01,13
BG,bg,инфлация,2020-12-01,16
BG,bg,инфлация,2021-01-01,29
BG,bg,инфлация,2021-02-01,23
BG,bg,инфлация,2021-03-01,30
BG,bg,инфлация,2021-04-01,20
BG,bg,инфлация,2021-05-01,28
BG,bg,инфлация,2021-06-01,38
BG,bg,инфлация,2021-07-01,26
BG,bg,инфлация,2021-08-01,26
BG,bg,инфлация,2021-09-01,61
BG,bg,инфлация,2021-10-01,61
BG,bg,инфлация,2021-11-01,51
BG,bg,инфлация,2021-12-01,56
BG,bg,инфлация,2022-01-01,100
BG,bg,инфлация,2022-02-01,83
BG,bg,инфлация,2022-03-01,91
BG,bg,инфлация,2022-04-01,73
BG,bg,инфлация,2022-05-01,83
BG,bg,инфлация,2022-06-01,80
BG,bg,инфлация,2022-07-01,63
BG,bg,инфлация,2022-08-01,55
BG,bg,инфлация,2022-09-01,66
BG,bg,инфлация,2022-10-01,75
BG,bg,инфлация,2022-11-01,68
BG,bg,инфлация,2022-12-01,58
BG,bg,инфлация,2023-01-01,87
BG,bg,инфлация,2023-02-01,76
BG,bg,инфлация,2023-03-01,63
BG,bg,инфлация,2023-04-01,45
BG,bg,инфлация,2023-05-01,38
BG,bg,инфлация,2023-06-01,37
BG,bg,инфлация,2023-07-01,32
BG,bg,инфлация,2023-08-01,39
BG,bg,инфлация,2023-09-01,38
BG,bg,инфлация,2023-10-01,40
BG,bg,инфлация,2023-11-01,36
BG,bg,инфлация,2023-12-01,43
BG,bg,инфлация,2024-01-01,75
BG,bg,инфлация,2024-02-01,59
BG,bg,инфлация,2024-03-01,57
BG,bg,инфлация,2024-04-01,47
BG,bg,инфлация,2024-05-01,40
BG,bg,инфлация,2024-06-01,33
BG,bg,инфлация,2024-07-01,28
BG,bg,инфлация,2024-08-01,26
BG,bg,инфлация,2024-09-01,34
BG,bg,инфлация,2024-10-01,38
BG,bg,инфлация,2024-11-01,39
BG,bg,инфлация,2024-12-01,35
BG,bg,инфлация,2025-01-01,71
BG,bg,инфлация,2025-02-01,67
BG,bg,инфлация,2025-03-01,46
BG,bg,инфлация,2025-04-01,40
BG,bg,инфлация,2025-05-01,32
BG,bg,инфлация,2025-06-01,40
BG,bg,инфлация,2025-07-01,34
BG,bg,инфлация,2025-08-01,28
BG,bg,инфлация,2025-09-01,29
BG,bg,инфлация,2025-10-01,35
BG,bg,инфлация,2025-11-01,44
BG,bg,инфлация,2025-12-01,50
BG,bg,инфлация,2026-01-01,69
BG,bg,инфлация,2026-02-01,51
DE,de,inflation,2014-01-01,21
DE,de,inflation,2014-02-01,18
DE,de,inflation,2014-03-01,18
DE,de,inflation,2014-04-01,17
DE,de,inflation,2014-05-01,19
DE,de,inflation,2014-06-01,18
DE,de,inflation,2014-07-01,13
DE,de,inflation,2014-08-01,12
DE,de,inflation,2014-09-01,15
DE,de,inflation,2014-10-01,17
DE,de,inflation,2014-11-01,21
DE,de,inflation,2014-12-01,18
DE,de,inflation,2015-01-01,30
DE,de,inflation,2015-02-01,19
DE,de,inflation,2015-03-01,19
DE,de,inflation,2015-04-01,16
DE,de,inflation,2015-05-01,14
DE,de,inflation,2015-06-01,16
DE,de,inflation,2015-07-01,12
DE,de,inflation,2015-08-01,10
DE,de,inflation,2015-09-01,14
DE,de,inflation,2015-10-01,15
DE,de,inflation,2015-11-01,17
DE,de,inflation,2015-12-01,16
DE,de,inflation,2016-01-01,16
DE,de,inflation,2016-02-01,16
DE,de,inflation,2016-03-01,16
DE,de,inflation,2016-04-01,16
DE,de,inflation,2016-05-01,15
DE,de,inflation,2016-06-01,14
DE,de,inflation,2016-07-01,11
DE,de,inflation,2016-08-01,9
DE,de,inflation,2016-09-01,13
DE,de,inflation,2016-10-01,14
DE,de,inflation,2016-11-01,17
DE,de,inflation,2016-12-01,14
DE,de,inflation,2017-01-01,19
DE,de,inflation,2017-02-01,17
DE,de,inflation,2017-03-01,21
DE,de,inflation,2017-04-01,15
DE,de,inflation,2017-05-01,16
DE,de,inflation,2017-06-01,12
DE,de,inflation,2017-07-01,11
DE,de,inflation,2017-08-01,11
DE,de,inflation,2017-09-01,13
DE,de,inflation,2017-10-01,14
DE,de,inflation,2017-11-01,15
DE,de,inflation,2017-12-01,14
DE,de,inflation,2018-01-01,16
DE,de,inflation,2018-02-01,16
DE,de,inflation,2018-03-01,15
DE,de,inflation,2018-04-01,15
DE,de,inflation,2018-05-01,16
DE,de,inflation,2018-06-01,14
DE,de,inflation,2018-07-01,12
DE,de,inflation,2018-08-01,15
DE,de,inflation,2018-09-01,15
DE,de,inflation,2018-10-01,15
DE,de,inflation,2018-11-01,18
DE,de,inflation,2018-12-01,14
DE,de,inflation,2019-01-01,16
DE,de,inflation,2019-02-01,17
DE,de,inflation,2019-03-01,15
